"The captain of a cricket team of 11 members is 26 years old and the wicket keeper is 3 years older. If the ages of these two are excluded, the average age of the remaining players is one year less than the average age of the whole team. What is the average age of the team?";23 years;24 years;25 years;None of these;23 years,0
The average monthly income of P and Q is Rs. 5050. The average monthly income of Q and R is Rs. 6250 and the average monthly income of P and R is Rs. 5200. The monthly income of P is:;3500;4000;4050;5000;4000;
"The average age of husband, wife and their child 3 years ago was 27 years and that of wife and the child 5 years ago was 20 years. The present age of the husband is:";35 years ;40 years;50 years;None of these;40 years;
"A car owner buys petrol at Rs.7.50, Rs. 8 and Rs. 8.50 per litre for three successive years. What approximately is the average cost per litre of petrol if he spends Rs. 4000 each year?";Rs. 7.98;Rs. 8;Rs. 8.50;Rs. 9;Rs. 7.98;
"In Arun's opinion his weight is greater than 65 kg but less than 72 kg. His brother doest not agree with Arun and he thinks that Arun's weight is greater than 60 kg but less than 70 kg. His mother's view is that his weight cannot be greater than 68 kg. If all are them are correct in their estimation, what is the average of different probable weights of Arun?";67 kg.;68 kg.;9 kg.;None of these;67 kg.;0
The average weight of 16 boys in a class is 50.25 kg and that of the remaining 8 boys is 45.15 kg. Find the average weights of all the boys in the class.;47.55 kg;48 kg;48.55 kg;49.25 kg;48.55 kg;0
"If the average marks of three batches of 55, 60 and 45 students respectively is 50, 55, 60, then the average marks of all the students is:";53.33;54.68;55;None of these;54.68;0
A pupil's marks were wrongly entered as 83 instead of 63. Due to that the average marks for the class got increased by half (1/2). The number of pupils in the class is:;10;20;40;73;40;0
Which one of the following is not a prime number?;31;61;71;91;91;0
"What least number must be added to 1056, so that the sum is completely divisible by 23 ?";2;3;18;None of these;2;0
"How many of the following numbers are divisible by 132 ? 264, 396, 462, 792, 968, 2178, 5184, 6336";4;5;6;7;4;0
Which of the following is a prime number ?;33;81;93;97;97;0
"On dividing a number by 5, we get 3 as remainder. What will the remainder when the square of the this number is divided by 5 ?";0;1;2;4;4;0
How many 3-digit numbers are completely divisible 6 ?;149;150;159;166;15;,0
How many natural numbers are there between 23 and 100 which are exactly divisible by 6 ?;8;11;12;13;13,0
How many 3 digit numbers are divisible by 6 in all ?,149,150,151,166,150,0
The smallest prime number is:,1,2,3,4,2,
"On dividing a number by 357, we get 39 as remainder. On dividing the same number 17, what will be the remainder ?",0,3,5,11,5,0
"If the product 4864 x 9 P 2 is divisible by 12, then the value of P is:",2,5,6,None of these,None of these,0
The H.C.F. of two numbers is 23 and the other two factors of their L.C.M. are 13 and 14. The larger of the two numbers is:,276,299,322,345,322,0
"Six bells commence tolling together and toll at intervals of 2, 4, 6, 8 10 and 12 seconds respectively. In 30 minutes, how many times do they toll together ?",4,10,15,16,16
"Let N be the greatest number that will divide 1305, 4665 and 6905, leaving the same remainder in each case. Then sum of the digits in N is:",4,5,6,8,4
"The greatest number of four digits which is divisible by 15, 25, 40 and 75 is:",9000,9400,9600,9800,9600
"The product of two numbers is 4107. If the H.C.F. of these numbers is 37, then the greater number is:",101,107,111,185,111
Three number are in the ratio of 3 : 4 : 5 and their L.C.M. is 2400. Their H.C.F. is:,40,80,120,200,40
"The G.C.D. of 1.08, 0.36 and 0.9 is:",0.03,0.9,0.18,0.108,0.18
The product of two numbers is 2028 and their H.C.F. is 13. The number of such pairs is:,1,2,3,4,2
"The least multiple of 7; which leaves a remainder of 4, when divided by 6, 9, 15 and 18 is:",74,94,184,364,364
"3 pumps, working 8 hours a day, can empty a tank in 2 days. How many hours a day must 4 pumps work to empty the tank in 1 day?",9,10,11,12,12
"Running at the same constant rate, 6 identical machines can produce a total of 270 bottles per minute. At this rate, how many bottles could 10 such machines produce in 4 minutes?",648,1800,2700,10800,1800
"A fort had provision of food for 150 men for 45 days. After 10 days, 25 men left the fort. The number of days for which the remaining food will last, is:",12,20,42,54,42
"39 persons can repair a road in 12 days, working 5 hours a day. In how many days will 30 persons, working 6 hours a day, complete the work?",10,13,14,15,13
"If a quarter kg of potato costs 60 paise, how many paise will 200 gm cost?",48 paise,56 paise,58 paise,72 paise,42 paise
"A wheel that has 6 cogs is meshed with a larger wheel of 14 cogs. When the smaller wheel has made 21 revolutions, then the number of revolutions mad by the larger wheel is:",4,9,12,49,9
"If 7 spiders make 7 webs in 7 days, then 1 spider will make 1 web in how many days?",1,5,7,10,7
"In a camp, there is a meal for 120 men or 200 children. If 150 children have taken the meal, how many men will be catered to with remaining meal?",20,30,40,50,30
"An industrial loom weaves 0.128 metres of cloth every second. Approximately, how many seconds will it take for the loom to weave 25 metres of cloth?",178,195,204,488,195
36 men can complete a piece of work in 18 days. In how many days will 27 men complete the same work?,12,18,22,24,24
"4 mat-weavers can weave 4 mats in 4 days. At the same rate, how many mats would be woven by 8 mat-weavers in 8 days?",4,8,12,16,16
Which of the following statements is not correct?,log10 10 = 1,log (2 + 3) = log (2 x 3),log10 1 = 0,log (1 + 2 + 3) = log 1 + log 2 + log 3,log (1 + 2 + 3) = log 1 + log 2 + log 3
"If log 2 = 0.3010 and log 3 = 0.4771, the value of log5 512 is:",2.87,2.967,3.876,3.912,3.876
